day_name,month_name,created_date,channel,total_accounts,daily_posts,last_daily_posts,daily_post_change,daily_post_change_rate,cumulative_daily_posts,post_growth_rate,daily_engagements,last_daily_engagements,daily_engagement_change,daily_engagement_change_rate,cumulative_daily_engagements,engagement_growth_rate
Wednesday,January,2020-01-01,facebook,1048,5772,0.0,0.0,0.0,5772,0.0,9131261,0.0,0.0,0.0,9131261,0.0
Thursday,January,2020-01-02,facebook,995,7498,5772.0,1726.0,0.299,13270,1.299,10242832,9131261.0,1111571.0,0.1217,19374093,1.1217
Friday,January,2020-01-03,facebook,1021,7456,7498.0,-42.0,-0.0056,20726,0.5619,9381875,10242832.0,-860957.0,-0.0841,28755968,0.4842
Saturday,January,2020-01-04,facebook,943,6889,7456.0,-567.0,-0.076,27615,0.3324,10222111,9381875.0,840236.0,0.0896,38978079,0.3555
Sunday,January,2020-01-05,facebook,945,6407,6889.0,-482.0,-0.07,34022,0.232,9528357,10222111.0,-693754.0,-0.0679,48506436,0.2445
Monday,January,2020-01-06,facebook,1070,8941,6407.0,2534.0,0.3955,42963,0.2628,9943451,9528357.0,415094.0,0.0436,58449887,0.205
Tuesday,January,2020-01-07,facebook,1082,8916,8941.0,-25.0,-0.0028,51879,0.2075,9806844,9943451.0,-136607.0,-0.0137,68256731,0.1678
Wednesday,January,2020-01-08,facebook,1104,8821,8916.0,-95.0,-0.0107,60700,0.17,8644903,9806844.0,-1161941.0,-0.1185,76901634,0.1267
Thursday,January,2020-01-09,facebook,1092,9116,8821.0,295.0,0.0334,69816,0.1502,11350537,8644903.0,2705634.0,0.313,88252171,0.1476
Friday,January,2020-01-10,facebook,1100,9323,9116.0,207.0,0.0227,79139,0.1335,11623518,11350537.0,272981.0,0.0241,99875689,0.1317
Saturday,January,2020-01-11,facebook,1028,7864,9323.0,-1459.0,-0.1565,87003,0.0994,10107480,11623518.0,-1516038.0,-0.1304,109983169,0.1012
Sunday,January,2020-01-12,facebook,926,6334,7864.0,-1530.0,-0.1946,93337,0.0728,7995950,10107480.0,-2111530.0,-0.2089,117979119,0.0727
Monday,January,2020-01-13,facebook,1082,8630,6334.0,2296.0,0.3625,101967,0.0925,10130524,7995950.0,2134574.0,0.267,128109643,0.0859
Tuesday,January,2020-01-14,facebook,1083,8616,8630.0,-14.0,-0.0016,110583,0.0845,9793267,10130524.0,-337257.0,-0.0333,137902910,0.0764
Wednesday,January,2020-01-15,facebook,1088,8881,8616.0,265.0,0.0308,119464,0.0803,9750333,9793267.0,-42934.0,-0.0044,147653243,0.0707
Thursday,January,2020-01-16,facebook,1100,9103,8881.0,222.0,0.025,128567,0.0762,10171785,9750333.0,421452.0,0.0432,157825028,0.0689
Friday,January,2020-01-17,facebook,1108,9799,9103.0,696.0,0.0765,138366,0.0762,10132592,10171785.0,-39193.0,-0.0039,167957620,0.0642
Saturday,January,2020-01-18,facebook,1009,7802,9799.0,-1997.0,-0.2038,146168,0.0564,10615574,10132592.0,482982.0,0.0477,178573194,0.0632
Sunday,January,2020-01-19,facebook,940,6756,7802.0,-1046.0,-0.1341,152924,0.0462,7764828,10615574.0,-2850746.0,-0.2685,186338022,0.0435
Monday,January,2020-01-20,facebook,1069,8626,6756.0,1870.0,0.2768,161550,0.0564,9836630,7764828.0,2071802.0,0.2668,196174652,0.0528
Tuesday,January,2020-01-21,facebook,1072,8701,8626.0,75.0,0.0087,170251,0.0539,10299835,9836630.0,463205.0,0.0471,206474487,0.0525
Wednesday,January,2020-01-22,facebook,1090,9326,8701.0,625.0,0.0718,179577,0.0548,12092953,10299835.0,1793118.0,0.1741,218567440,0.0586
Thursday,January,2020-01-23,facebook,1111,9844,9326.0,518.0,0.0555,189421,0.0548,12317478,12092953.0,224525.0,0.0186,230884918,0.0564
Friday,January,2020-01-24,facebook,1095,9829,9844.0,-15.0,-0.0015,199250,0.0519,9842357,12317478.0,-2475121.0,-0.2009,240727275,0.0426
Saturday,January,2020-01-25,facebook,1002,7946,9829.0,-1883.0,-0.1916,207196,0.0399,9396199,9842357.0,-446158.0,-0.0453,250123474,0.039
Sunday,January,2020-01-26,facebook,965,7339,7946.0,-607.0,-0.0764,214535,0.0354,9448949,9396199.0,52750.0,0.0056,259572423,0.0378
Monday,January,2020-01-27,facebook,1091,8946,7339.0,1607.0,0.219,223481,0.0417,9968872,9448949.0,519923.0,0.055,269541295,0.0384
Tuesday,January,2020-01-28,facebook,1076,8657,8946.0,-289.0,-0.0323,232138,0.0387,9974632,9968872.0,5760.0,0.0006,279515927,0.037
Wednesday,January,2020-01-29,facebook,1114,9247,8657.0,590.0,0.0682,241385,0.0398,9893458,9974632.0,-81174.0,-0.0081,289409385,0.0354
Thursday,January,2020-01-30,facebook,1079,10509,9247.0,1262.0,0.1365,251894,0.0435,11119598,9893458.0,1226140.0,0.1239,300528983,0.0384
Friday,January,2020-01-31,facebook,1099,10086,10509.0,-423.0,-0.0403,261980,0.04,9813241,11119598.0,-1306357.0,-0.1175,310342224,0.0327
Saturday,February,2020-02-01,facebook,1073,8756,10086.0,-1330.0,-0.1319,270736,0.0334,9301357,9813241.0,-511884.0,-0.0522,319643581,0.03
Sunday,February,2020-02-02,facebook,1000,7689,8756.0,-1067.0,-0.1219,278425,0.0284,9497766,9301357.0,196409.0,0.0211,329141347,0.0297
Monday,February,2020-02-03,facebook,1096,9003,7689.0,1314.0,0.1709,287428,0.0323,10313011,9497766.0,815245.0,0.0858,339454358,0.0313
Tuesday,February,2020-02-04,facebook,1087,9136,9003.0,133.0,0.0148,296564,0.0318,10646519,10313011.0,333508.0,0.0323,350100877,0.0314
Wednesday,February,2020-02-05,facebook,1117,9257,9136.0,121.0,0.0132,305821,0.0312,10451916,10646519.0,-194603.0,-0.0183,360552793,0.0299
Thursday,February,2020-02-06,facebook,1110,9741,9257.0,484.0,0.0523,315562,0.0319,10156908,10451916.0,-295008.0,-0.0282,370709701,0.0282
Friday,February,2020-02-07,facebook,1089,10030,9741.0,289.0,0.0297,325592,0.0318,10987090,10156908.0,830182.0,0.0817,381696791,0.0296
Saturday,February,2020-02-08,facebook,1036,7953,10030.0,-2077.0,-0.2071,333545,0.0244,11179049,10987090.0,191959.0,0.0175,392875840,0.0293
Sunday,February,2020-02-09,facebook,975,7116,7953.0,-837.0,-0.1052,340661,0.0213,12755726,11179049.0,1576677.0,0.141,405631566,0.0325
Monday,February,2020-02-10,facebook,995,8273,7116.0,1157.0,0.1626,348934,0.0243,10699323,12755726.0,-2056403.0,-0.1612,416330889,0.0264
Tuesday,February,2020-02-11,facebook,1116,9360,8273.0,1087.0,0.1314,358294,0.0268,10944357,10699323.0,245034.0,0.0229,427275246,0.0263
Wednesday,February,2020-02-12,facebook,1123,9911,9360.0,551.0,0.0589,368205,0.0277,10528932,10944357.0,-415425.0,-0.038,437804178,0.0246
Thursday,February,2020-02-13,facebook,1154,11353,9911.0,1442.0,0.1455,379558,0.0308,11248529,10528932.0,719597.0,0.0683,449052707,0.0257
Friday,February,2020-02-14,facebook,1191,10954,11353.0,-399.0,-0.0351,390512,0.0289,12268334,11248529.0,1019805.0,0.0907,461321041,0.0273
Saturday,February,2020-02-15,facebook,1025,7928,10954.0,-3026.0,-0.2762,398440,0.0203,8409358,12268334.0,-3858976.0,-0.3145,469730399,0.0182
Sunday,February,2020-02-16,facebook,981,7445,7928.0,-483.0,-0.0609,405885,0.0187,9652348,8409358.0,1242990.0,0.1478,479382747,0.0205
Monday,February,2020-02-17,facebook,1093,9150,7445.0,1705.0,0.229,415035,0.0225,10034423,9652348.0,382075.0,0.0396,489417170,0.0209
Tuesday,February,2020-02-18,facebook,1127,8881,9150.0,-269.0,-0.0294,423916,0.0214,10017408,10034423.0,-17015.0,-0.0017,499434578,0.0205
Wednesday,February,2020-02-19,facebook,1099,9468,8881.0,587.0,0.0661,433384,0.0223,10720520,10017408.0,703112.0,0.0702,510155098,0.0215
Thursday,February,2020-02-20,facebook,1133,9978,9468.0,510.0,0.0539,443362,0.023,12348190,10720520.0,1627670.0,0.1518,522503288,0.0242
Friday,February,2020-02-21,facebook,1092,9453,9978.0,-525.0,-0.0526,452815,0.0213,10801111,12348190.0,-1547079.0,-0.1253,533304399,0.0207
Saturday,February,2020-02-22,facebook,997,7655,9453.0,-1798.0,-0.1902,460470,0.0169,8841186,10801111.0,-1959925.0,-0.1815,542145585,0.0166
Sunday,February,2020-02-23,facebook,957,7351,7655.0,-304.0,-0.0397,467821,0.016,9195215,8841186.0,354029.0,0.04,551340800,0.017
Monday,February,2020-02-24,facebook,1086,9812,7351.0,2461.0,0.3348,477633,0.021,10386665,9195215.0,1191450.0,0.1296,561727465,0.0188
