created_month,all_platforms,facebook,instagram,twitter,youtube
2020-01-01,0.0,0.0,0.0,0.0,0.0
2020-02-01,-0.0329,-0.0115,-0.0863,-0.0845,-0.0319
2020-03-01,0.1108,0.062,0.2324,0.2406,0.1299
2020-04-01,0.0213,0.0727,-0.1364,-0.1049,0.1206
2020-05-01,-0.0207,-0.0117,-0.0555,-0.0686,0.0032
2020-06-01,-0.0066,-0.0193,0.0872,-0.0082,-0.0959
2020-07-01,0.0558,0.0516,0.1167,0.0563,-0.0472
2020-08-01,-0.0326,-0.0025,-0.0618,-0.2233,-0.1191
2020-09-01,-0.0896,-0.1059,-0.0591,0.0017,-0.0625
2020-10-01,0.1675,0.2269,0.0099,0.5787,0.009
2020-11-01,-0.0553,-0.0479,0.0079,-0.5499,-0.0734
2020-12-01,-0.0154,-0.0084,-0.0071,0.0212,-0.1165
