month_name,day_name,all_platforms,facebook,instagram,twitter,youtube
Apr,Fri,13.67,13.68,13.47,13.25,14.11
Apr,Mon,13.17,13.24,14.0,15.35,10.63
Apr,Sat,13.21,12.7,13.44,12.84,16.0
Apr,Sun,13.14,12.62,14.31,11.04,14.65
Apr,Thu,16.53,17.3,15.49,16.34,13.83
Apr,Tue,12.82,13.09,12.47,14.33,11.44
Apr,Wed,17.46,17.37,16.82,16.86,19.34
Aug,Fri,13.3,13.13,13.59,13.87,13.76
Aug,Mon,15.44,16.24,15.01,16.14,9.93
Aug,Sat,16.07,15.54,15.44,15.31,22.2
Aug,Sun,15.6,14.84,16.87,17.55,17.96
Aug,Thu,13.32,13.55,13.0,16.13,11.49
Aug,Tue,13.06,13.17,13.25,10.55,12.26
Aug,Wed,13.22,13.53,12.85,10.45,12.41
Dec,Fri,13.88,14.14,13.31,11.63,13.53
Dec,Mon,12.62,13.15,11.96,14.65,8.45
Dec,Sat,13.05,12.68,12.71,13.39,18.17
Dec,Sun,13.02,12.67,13.4,12.53,15.68
Dec,Thu,14.32,13.54,16.87,15.63,14.26
Dec,Tue,16.62,16.85,16.54,16.15,14.51
Dec,Wed,16.48,16.97,15.21,16.02,15.4
Feb,Fri,14.56,14.64,14.54,14.15,14.15
Feb,Mon,13.02,13.51,13.18,14.48,8.9
Feb,Sat,16.6,15.1,16.54,16.92,26.87
Feb,Sun,13.82,13.4,14.12,13.32,16.16
Feb,Thu,14.22,15.05,13.37,13.17,10.82
Feb,Tue,13.77,13.98,14.16,15.54,10.89
Feb,Wed,14.01,14.33,14.09,12.42,12.22
Jan,Fri,16.15,16.37,15.57,14.03,16.73
Jan,Mon,12.08,12.85,11.47,13.38,8.04
Jan,Sat,13.75,13.0,13.52,11.94,19.92
Jan,Sun,12.07,11.19,12.66,13.49,15.98
Jan,Thu,17.17,17.79,17.33,17.23,12.61
Jan,Tue,12.7,12.85,12.4,12.71,12.42
Jan,Wed,16.08,15.95,17.04,17.23,14.3
Jul,Fri,16.45,16.71,15.72,15.83,16.66
Jul,Mon,12.83,13.45,12.7,12.52,8.8
Jul,Sat,12.9,12.25,13.2,12.34,16.98
Jul,Sun,12.22,11.35,13.37,12.32,15.58
Jul,Thu,16.07,16.13,16.15,15.5,15.63
Jul,Tue,13.26,13.48,12.71,14.55,12.62
Jul,Wed,16.27,16.64,16.14,16.94,13.74
Jun,Fri,14.3,14.38,13.89,12.91,15.08
Jun,Mon,16.57,17.7,16.2,12.75,11.04
Jun,Sat,13.51,12.73,14.19,12.43,17.46
Jun,Sun,13.27,12.71,13.99,16.45,14.55
Jun,Thu,13.97,14.41,13.31,14.54,12.34
Jun,Tue,14.8,14.07,16.16,16.54,16.2
Jun,Wed,13.58,14.01,12.26,14.38,13.33
Mar,Fri,13.66,13.86,13.37,12.71,13.44
Mar,Mon,15.72,16.64,15.87,16.19,9.36
Mar,Sat,13.8,13.39,12.79,16.42,17.96
Mar,Sun,15.61,15.13,15.87,15.09,18.19
Mar,Thu,13.41,13.79,13.45,13.1,10.93
Mar,Tue,14.4,13.31,16.43,14.85,16.21
Mar,Wed,13.41,13.88,12.21,11.64,13.91
May,Fri,16.76,16.93,16.08,15.5,17.23
May,Mon,12.4,12.73,12.67,15.64,9.14
May,Sat,16.27,15.56,17.06,16.05,19.15
May,Sun,15.6,15.38,14.96,17.15,17.69
May,Thu,13.37,13.48,13.9,9.85,12.63
May,Tue,13.06,12.85,13.8,14.08,12.71
May,Wed,12.55,13.08,11.52,11.73,11.44
Nov,Fri,13.27,12.79,14.85,11.76,13.68
Nov,Mon,16.72,17.15,16.6,14.86,13.21
Nov,Sat,13.29,12.91,13.14,12.24,17.67
Nov,Sun,16.58,16.17,17.13,17.29,18.83
Nov,Thu,13.25,13.47,12.88,12.61,12.32
Nov,Tue,12.9,13.28,11.73,15.43,12.03
Nov,Wed,13.99,14.23,13.66,15.82,12.25
Oct,Fri,17.18,17.13,16.52,21.28,17.59
Oct,Mon,12.35,12.87,12.49,9.97,8.13
Oct,Sat,16.31,15.72,16.04,19.49,21.18
Oct,Sun,11.65,11.37,12.24,9.63,13.54
Oct,Thu,16.19,15.93,16.88,16.29,16.74
Oct,Tue,13.2,13.54,13.32,9.31,11.44
Oct,Wed,13.13,13.45,12.52,14.03,11.37
Sep,Fri,13.23,13.55,12.39,11.46,13.55
Sep,Mon,13.17,13.13,13.56,17.07,11.33
Sep,Sat,14.7,14.34,14.28,10.84,19.82
Sep,Sun,13.06,12.73,13.23,13.39,15.05
Sep,Thu,13.8,14.5,12.88,12.72,11.13
Sep,Tue,17.18,17.88,16.25,15.22,14.83
Sep,Wed,14.85,13.88,17.41,19.29,14.29
