created_month,all_platforms,facebook,instagram,twitter,youtube
2020-01-01,0.0,0.0,0.0,0.0,0.0
2020-02-01,-0.0095,0.0009,-0.0339,-0.0475,-0.1346
2020-03-01,0.0388,0.0203,0.0693,0.1907,0.1361
2020-04-01,-0.042,-0.0462,-0.0042,-0.0975,0.1141
2020-05-01,0.0119,0.0191,0.0028,-0.051,-0.0023
2020-06-01,0.0153,0.03,-0.0363,-0.0807,-0.0157
2020-07-01,0.0985,0.1202,0.0105,-0.0292,0.0063
2020-08-01,0.0049,0.008,0.0011,-0.0144,-0.0381
2020-09-01,-0.0475,-0.0536,-0.0589,0.0224,0.0315
2020-10-01,0.0704,0.0763,0.0076,0.0839,0.0303
2020-11-01,0.026,0.0391,0.0209,-0.1155,-0.0545
2020-12-01,-0.0276,-0.0329,-0.0051,0.0269,-0.0168
