month_name,day_name,all_platforms,facebook,instagram,twitter,youtube
Apr,Fri,14.16,14.09,14.6,14.46,14.15
Apr,Mon,13.28,13.34,12.46,13.98,12.51
Apr,Sat,12.08,12.04,12.87,11.2,13.08
Apr,Sun,11.25,11.16,12.41,10.42,12.28
Apr,Thu,17.73,17.69,18.23,17.97,17.08
Apr,Tue,13.55,13.67,12.64,13.37,13.23
Apr,Wed,17.94,18.02,16.79,18.6,17.68
Aug,Fri,14.39,14.44,13.26,14.89,14.86
Aug,Mon,16.72,16.76,16.52,17.41,14.84
Aug,Sat,14.93,14.94,15.67,12.7,16.72
Aug,Sun,13.38,13.31,15.04,11.77,14.41
Aug,Thu,13.92,14.0,12.81,14.52,13.28
Aug,Tue,13.47,13.45,13.43,13.99,13.09
Aug,Wed,13.2,13.11,13.28,14.72,12.81
Dec,Fri,14.69,14.82,13.88,14.0,14.24
Dec,Mon,12.49,12.48,12.36,13.19,11.69
Dec,Sat,12.11,12.11,12.62,10.95,12.96
Dec,Sun,10.64,10.54,11.99,9.96,11.92
Dec,Thu,15.13,14.9,16.87,16.14,16.04
Dec,Tue,17.44,17.58,16.0,17.78,16.14
Dec,Wed,17.49,17.58,16.27,17.97,17.0
Feb,Fri,15.45,15.56,14.42,15.39,15.12
Feb,Mon,13.82,13.82,13.73,14.33,12.87
Feb,Sat,15.43,15.4,16.24,13.9,17.72
Feb,Sun,11.37,11.29,12.29,10.95,12.21
Feb,Thu,15.52,15.63,14.43,16.04,14.12
Feb,Tue,13.89,13.88,13.49,14.51,13.85
Feb,Wed,14.51,14.41,15.39,14.89,14.1
Jan,Fri,17.65,17.75,16.67,18.29,16.18
Jan,Mon,13.18,13.41,12.21,12.43,11.2
Jan,Sat,11.66,11.64,13.09,10.02,12.18
Jan,Sun,10.3,10.24,11.73,9.43,10.09
Jan,Thu,17.76,17.59,16.79,19.18,21.65
Jan,Tue,13.18,13.32,12.26,12.76,12.86
Jan,Wed,16.27,16.05,17.25,17.89,15.84
Jul,Fri,17.68,17.84,16.46,17.11,17.35
Jul,Mon,11.98,11.92,12.55,12.24,11.59
Jul,Sat,11.86,11.85,12.36,10.73,12.87
Jul,Sun,10.47,10.37,12.33,9.23,10.85
Jul,Thu,17.53,17.56,16.87,17.98,17.46
Jul,Tue,12.84,12.78,12.77,13.94,12.57
Jul,Wed,17.65,17.67,16.66,18.77,17.3
Jun,Fri,14.96,15.17,13.31,14.5,14.61
Jun,Mon,17.43,17.54,16.81,17.73,15.62
Jun,Sat,12.89,12.99,13.41,10.62,13.39
Jun,Sun,11.34,11.31,12.83,9.61,11.66
Jun,Thu,14.53,14.6,13.62,15.01,14.06
Jun,Tue,14.71,14.15,16.62,18.64,16.64
Jun,Wed,14.15,14.25,13.4,13.88,14.01
Mar,Fri,14.5,14.66,13.27,14.21,14.04
Mar,Mon,16.78,16.99,15.39,16.81,14.9
Mar,Sat,12.14,12.21,12.39,10.63,13.44
Mar,Sun,13.54,13.5,14.93,12.35,13.91
Mar,Thu,14.26,14.21,14.72,14.76,13.12
Mar,Tue,14.6,14.12,15.7,17.36,17.31
Mar,Wed,14.18,14.3,13.6,13.88,13.28
May,Fri,17.29,17.3,17.43,17.28,16.9
May,Mon,12.88,12.9,12.34,13.62,12.26
May,Sat,14.96,14.88,16.45,13.41,16.29
May,Sun,14.3,14.34,14.98,12.86,14.62
May,Thu,13.88,13.87,13.68,14.46,13.31
May,Tue,13.39,13.39,12.81,14.45,12.66
May,Wed,13.29,13.31,12.31,13.92,13.97
Nov,Fri,14.54,14.6,13.95,14.61,14.04
Nov,Mon,16.67,16.68,16.26,17.37,16.15
Nov,Sat,12.14,12.15,12.92,10.15,13.36
Nov,Sun,13.37,13.22,15.56,12.39,14.44
Nov,Thu,14.92,14.99,14.42,15.07,13.91
Nov,Tue,14.14,14.15,13.44,14.96,14.09
Nov,Wed,14.23,14.22,13.46,15.44,14.01
Oct,Fri,17.62,17.68,16.94,18.01,16.77
Oct,Mon,12.9,12.91,12.87,13.31,12.03
Oct,Sat,14.43,14.31,15.59,13.89,16.14
Oct,Sun,10.09,9.99,11.71,9.35,10.55
Oct,Thu,18.14,18.31,16.78,17.66,17.42
Oct,Tue,12.96,12.94,12.95,13.11,13.16
Oct,Wed,13.86,13.86,13.16,14.69,13.93
Sep,Fri,14.57,14.69,14.0,13.96,13.96
Sep,Mon,13.42,13.53,12.67,13.09,12.6
Sep,Sat,12.26,12.31,13.09,9.97,13.37
Sep,Sun,11.29,11.29,12.39,9.87,11.31
Sep,Thu,14.82,14.94,13.94,14.72,13.84
Sep,Tue,17.92,17.95,16.94,19.0,17.43
Sep,Wed,15.72,15.29,16.97,19.39,17.5
