created_month,all_platforms,facebook,instagram,twitter,youtube
2020-01-01,320397.0,261980.0,25948.0,22586.0,9883.0
2020-02-01,317361.0,262225.0,25069.0,21514.0,8553.0
2020-03-01,329685.0,267544.0,26807.0,25617.0,9717.0
2020-04-01,315822.0,255183.0,26694.0,23119.0,10826.0
2020-05-01,319567.0,260056.0,26770.0,21940.0,10801.0
2020-06-01,324467.0,267867.0,25799.0,20170.0,10631.0
2020-07-01,356425.0,300076.0,26070.0,19581.0,10698.0
2020-08-01,358168.0,302479.0,26099.0,19300.0,10290.0
2020-09-01,341168.0,286259.0,24562.0,19733.0,10614.0
2020-10-01,365179.0,308106.0,24748.0,21389.0,10936.0
2020-11-01,374664.0,320139.0,25266.0,18919.0,10340.0
2020-12-01,364336.0,309607.0,25136.0,19427.0,10166.0
