,account_name,channel,post_id,engagement,rankengage
3631,พิมฐา Pimtha,instagram,365,1915636873,1.0
2046,Starving Time,instagram,857,1549127984,2.0
213,Babyjingko,instagram,431,933225880,3.0
4264,เมอา พรพรรณ เรืองปัญญาธรรม,instagram,496,646318919,4.0
282,Bew Varaporn,instagram,586,624113833,5.0
2821,nubnubbb,instagram,404,622804018,6.0
3492,นุ่น นพลักษณ์ กุลธวัชชัย,instagram,204,621609326,7.0
2656,iiitoei,instagram,494,336241620,8.0
3669,ฟ้า ษริกา สารทศิลป์ศุภา,instagram,305,318652040,9.0
3381,ตู่ สวรินทร์ ศรีบุญมา,instagram,503,316282301,10.0
1664,Oppa Thuchy,instagram,351,314412975,11.0
3709,มิ้นชี่ สมัชญา อัศวนิเวศน์,instagram,431,313724903,12.0
697,Eyeta,instagram,439,312355638,13.0
1424,Mhunoiii,instagram,1387,310002820,14.0
4098,อีจัน,facebook,51705,224411370,1.0
3917,สิ่งเล็กๆที่เรียกว่ารัก,facebook,11868,117486240,2.0
3221,คาราโอเกะชั้นใต้ดิน,facebook,1009,102035954,3.0
581,Drama-addict,facebook,17297,100001223,4.0
2623,hastation,instagram,7404,87675092,15.0
3046,กับข้าวกับปลาโอ Plaocooking,facebook,918,81663726,5.0
3953,หนูน้อยบนยอดเขาอันหนาวเหน็บ,facebook,2715,81388992,6.0
1944,Sale here,facebook,116899,66890589,7.0
3555,ปันโปร - Punpromotion,facebook,97191,57366224,8.0
3973,หมอแล็บแพนด้า,facebook,2789,56979795,9.0
920,Guy Haru Family,facebook,4407,56677355,10.0
1292,Lowcostcosplay,facebook,458,53974893,11.0
3595,ผู้หญิง Salaryman Thailand,facebook,13838,53637402,12.0
4476,ใต้เตียงดารา,facebook,7600,51270080,13.0
3148,ข้าวจ้าว หมากวนตีน,facebook,781,49412755,14.0
2129,Tagple,facebook,274,49054320,15.0
2551,djpetjah channel,instagram,1880,47744218,16.0
3556,ปันโปร promotion,instagram,4416,44274489,17.0
3133,ขอบสหนัง,facebook,6926,43825752,16.0
3997,หมูหิว,facebook,8676,37067768,17.0
4103,อีเจี๊ยบ เลียบด่วน,facebook,1690,34839196,18.0
987,I Roam Alone,facebook,543,32183611,19.0
879,Gluta Story,facebook,1329,32136766,20.0
2849,pantipa,instagram,318,31215482,18.0
2304,Unseen Tour Thailand,facebook,2909,30782855,21.0
695,Extreme IT,youtube,546,29183150,1.0
1159,Kaykai Salaider,instagram,171,29100079,19.0
4266,เมีย,facebook,3891,28922221,22.0
3308,ชีวิตติดรีวิว,facebook,9720,28377699,23.0
3342,ดูดวงความรัก,facebook,1560,28157575,24.0
114,Alrisaa,instagram,538,26958856,20.0
2289,TripTH ทริปไทยแลนด์,facebook,16240,26749565,25.0
2448,Zom Marie,facebook,1886,26285041,26.0
3343,ดูดวงความรัก,instagram,1437,25659949,21.0
1223,Kyutae Oppa - คิวเท โอ็ปป้า,facebook,852,25460618,27.0
3041,กองทัพ ยายี,facebook,1248,25045537,28.0
3153,คนตัวดำ,facebook,3357,24479589,29.0
3888,สอดอStyle,facebook,1651,24281258,30.0
1387,Mawinfinferrr,facebook,607,24077771,31.0
3951,หนูนาสวีเดน แฟนเฟจ,facebook,6312,23921859,32.0
685,EventPass,facebook,70503,23418799,33.0
2022,Sp Saypan,facebook,4769,22742505,34.0
1314,MNJ TV,youtube,278,22407115,2.0
2998,vanda29,instagram,521,22294032,22.0
3593,ผู้หญิง Beauty Community,facebook,6114,22152073,35.0
3898,สะบัดแปรง,instagram,771,22145380,23.0
2724,kiwtum,facebook,1064,20792882,36.0
4002,หม่อมถนัดแดก,facebook,3252,20402363,37.0
3861,ศุภชัย เสมอมิตร โหน่งโชว์,facebook,1136,20125127,38.0
1272,Little Monster,facebook,3427,20023125,39.0
651,Edward10516 : เอ็ดเวิร์ด,facebook,4682,19803973,40.0
3874,สมาคมนิยมรถแต่งสวยโหด,facebook,14955,19226494,41.0
3028,zbing z.,youtube,370,18493396,3.0
3919,สี่สหาย สายเหน่อ,facebook,2866,18458448,42.0
1945,Sale here,instagram,7832,18124892,24.0
1192,Kingdom Of Tigers: ทูนหัวของบ่าว,facebook,3953,17230119,43.0
119,Amy Kitiya,facebook,2487,16997501,44.0
1160,Kaykai Salaider,youtube,83,16074491,4.0
122,Ananped,facebook,236,15892724,45.0
2550,djpetjah channel,facebook,1296,15350565,46.0
2211,The MATTER,facebook,6740,15127178,47.0
3897,สะบัดแปรง,facebook,1229,14978520,48.0
1341,Madampam Makeup by Winlaphat,facebook,1859,14950669,49.0
2002,Sneak out หนีเที่ยว,facebook,18695,14773628,50.0
1742,Pantipa.a,facebook,471,14620180,51.0
3985,หมีมีหม้อ,facebook,3157,14618833,52.0
1222,Kyutae Oppa,youtube,211,14331890,5.0
924,HEARTROCKER,youtube,382,14289760,6.0
3778,ลงทุนแมน,facebook,2671,14191333,53.0
2709,karinch1412,youtube,258,14124844,7.0
3452,นักเลงโรงหนัง,facebook,2012,14113787,54.0
3721,ม้าเฉียว ดูหุ้น The Future,facebook,5145,14097545,55.0
4490,ไทยเรสซิ่ง-ThaiRacing,facebook,917,13920877,56.0
1142,Kanin The Movie,facebook,2906,13884049,57.0
323,Bo Vanda Sahawong,facebook,1006,13504730,58.0
