,account_name,month,channel,post_id,engagement,rankengage
20728,Starving Time,November,instagram,67,1238172478,1.0
36572,พิมฐา Pimtha,November,instagram,23,621393013,2.0
36570,พิมฐา Pimtha,March,instagram,40,329354359,1.0
26773,iiitoei,November,instagram,55,316237957,3.0
36564,พิมฐา Pimtha,August,instagram,29,313350776,1.0
36569,พิมฐา Pimtha,June,instagram,27,313012328,1.0
36571,พิมฐา Pimtha,May,instagram,21,312484281,1.0
33991,ตู่ สวรินทร์ ศรีบุญมา,August,instagram,46,311990384,2.0
42923,เมอา พรพรรณ เรืองปัญญาธรรม,September,instagram,29,311915484,1.0
42921,เมอา พรพรรณ เรืองปัญญาธรรม,October,instagram,31,311320365,1.0
2205,Babyjingko,September,instagram,40,310301811,2.0
28357,nubnubbb,October,instagram,37,310278951,2.0
36940,ฟ้า ษริกา สารทศิลป์ศุภา,July,instagram,22,310170706,1.0
2175,Babyjingko,August,instagram,34,310133020,3.0
7167,Eyeta,September,instagram,35,310090571,3.0
20734,Starving Time,September,instagram,72,309927423,4.0
35205,นุ่น นพลักษณ์ กุลธวัชชัย,September,instagram,17,309924861,5.0
37329,มิ้นชี่ สมัชญา อัศวนิเวศน์,October,instagram,30,309814211,3.0
2946,Bew Varaporn,November,instagram,45,309731876,4.0
2202,Babyjingko,October,instagram,31,309689199,4.0
16813,Oppa Thuchy,August,instagram,30,309683030,4.0
2949,Bew Varaporn,October,instagram,45,309679692,5.0
35202,นุ่น นพลักษณ์ กุลธวัชชัย,October,instagram,14,309516879,6.0
28354,nubnubbb,November,instagram,24,309469966,5.0
14424,Mhunoiii,November,instagram,83,309273984,6.0
41288,อีจัน,April,facebook,4990,24149969,1.0
41292,อีจัน,January,facebook,3295,23056581,1.0
41295,อีจัน,March,facebook,3576,22926419,1.0
41293,อีจัน,July,facebook,4336,21737334,1.0
41289,อีจัน,August,facebook,5070,20097307,1.0
39464,สิ่งเล็กๆที่เรียกว่ารัก,July,facebook,988,19441162,2.0
41291,อีจัน,February,facebook,2979,19213026,1.0
41299,อีจัน,September,facebook,3682,18784686,1.0
41298,อีจัน,October,facebook,5761,18323030,1.0
32384,คาราโอเกะชั้นใต้ดิน,October,facebook,109,16939195,2.0
41296,อีจัน,May,facebook,5238,16785007,1.0
39466,สิ่งเล็กๆที่เรียกว่ารัก,June,facebook,952,16511114,1.0
41294,อีจัน,June,facebook,3395,16309570,2.0
5967,Drama-addict,March,facebook,1580,14624362,2.0
39470,สิ่งเล็กๆที่เรียกว่ารัก,May,facebook,1027,14452520,2.0
39805,หนูน้อยบนยอดเขาอันหนาวเหน็บ,December,facebook,267,13474390,1.0
32382,คาราโอเกะชั้นใต้ดิน,November,facebook,107,12688643,1.0
32366,คาราโอเกะชั้นใต้ดิน,August,facebook,109,12593006,2.0
39821,หนูน้อยบนยอดเขาอันหนาวเหน็บ,October,facebook,263,12243230,3.0
41290,อีจัน,December,facebook,4085,12199364,2.0
39473,สิ่งเล็กๆที่เรียกว่ารัก,October,facebook,1098,11535254,4.0
39803,หนูน้อยบนยอดเขาอันหนาวเหน็บ,August,facebook,280,11330066,3.0
39819,หนูน้อยบนยอดเขาอันหนาวเหน็บ,November,facebook,202,11205117,2.0
13130,Lowcostcosplay,May,facebook,57,10883463,3.0
41297,อีจัน,November,facebook,5298,10829077,3.0
39456,สิ่งเล็กๆที่เรียกว่ารัก,August,facebook,1076,10739237,4.0
13122,Lowcostcosplay,April,facebook,56,10121738,2.0
30444,กระดานดำ,December,facebook,1408,9984968,3.0
32374,คาราโอเกะชั้นใต้ดิน,July,facebook,84,9981522,3.0
5962,Drama-addict,December,facebook,1440,9747010,4.0
5970,Drama-addict,October,facebook,1238,9719671,5.0
26426,hastation,January,instagram,764,9547857,1.0
39472,สิ่งเล็กๆที่เรียกว่ารัก,November,facebook,1062,9347199,4.0
26429,hastation,March,instagram,673,8956541,2.0
5960,Drama-addict,April,facebook,1799,8912312,3.0
40030,หมอแล็บแพนด้า,April,facebook,392,8813199,4.0
26422,hastation,April,instagram,696,8699090,1.0
39458,สิ่งเล็กๆที่เรียกว่ารัก,December,facebook,1047,8577646,5.0
39475,สิ่งเล็กๆที่เรียกว่ารัก,September,facebook,1049,8513697,2.0
26425,hastation,February,instagram,629,8448939,1.0
32368,คาราโอเกะชั้นใต้ดิน,December,facebook,83,8348782,6.0
5961,Drama-addict,August,facebook,1650,8332192,5.0
30589,กับข้าวกับปลาโอ Plaocooking,November,facebook,91,8274060,5.0
26432,hastation,October,instagram,650,8234551,7.0
30591,กับข้าวกับปลาโอ Plaocooking,October,facebook,135,8152283,6.0
32386,คาราโอเกะชั้นใต้ดิน,September,facebook,73,8142411,3.0
21557,Tagple,October,facebook,31,8121970,7.0
5969,Drama-addict,November,facebook,1109,8113943,6.0
5965,Drama-addict,July,facebook,1623,8077995,4.0
36214,ผู้หญิง Salaryman Thailand,October,facebook,1145,7931383,8.0
30570,กับข้าวกับปลาโอ Plaocooking,December,facebook,95,7879257,7.0
40041,หมอแล็บแพนด้า,March,facebook,542,7872529,3.0
5963,Drama-addict,February,facebook,1149,7866061,2.0
30568,กับข้าวกับปลาโอ Plaocooking,August,facebook,63,7655445,6.0
5971,Drama-addict,September,facebook,1257,7537987,4.0
39823,หนูน้อยบนยอดเขาอันหนาวเหน็บ,September,facebook,267,7479587,5.0
30593,กับข้าวกับปลาโอ Plaocooking,September,facebook,99,7457664,6.0
19606,Sale here,December,facebook,12913,7367605,8.0
26430,hastation,May,instagram,666,7288629,2.0
30575,กับข้าวกับปลาโอ Plaocooking,January,facebook,73,7286718,2.0
9412,Guy Haru Family,January,facebook,474,7246443,3.0
31634,ข้าวจ้าว หมากวนตีน,December,facebook,53,7165491,9.0
26427,hastation,July,instagram,593,7129164,2.0
39811,หนูน้อยบนยอดเขาอันหนาวเหน็บ,July,facebook,249,7007486,5.0
5964,Drama-addict,January,facebook,1543,6825565,4.0
21538,Tagple,December,facebook,35,6780743,10.0
39454,สิ่งเล็กๆที่เรียกว่ารัก,April,facebook,903,6742391,5.0
7103,Extreme IT,April,youtube,53,6661188,1.0
26433,hastation,September,instagram,591,6631790,6.0
