,account_name,channel,like,love,wow,haha,sad,angry,comment,share,engagement,favorite,retweet,share_on_facebook,dislike
3631,พิมฐา Pimtha,instagram,43354712.0,0.0,0.0,0.0,0.0,0.0,67429.0,0.0,1915636873,0.0,0.0,1872214732.0,0.0
2046,Starving Time,instagram,1204961.0,0.0,0.0,0.0,0.0,0.0,5343.0,0.0,1549127984,0.0,0.0,1547917680.0,0.0
213,Babyjingko,instagram,4484794.0,0.0,0.0,0.0,0.0,0.0,20204.0,0.0,933225880,0.0,0.0,928720882.0,0.0
4264,เมอา พรพรรณ เรืองปัญญาธรรม,instagram,26933506.0,0.0,0.0,0.0,0.0,0.0,82164.0,0.0,646318919,0.0,0.0,619303249.0,0.0
282,Bew Varaporn,instagram,5379681.0,0.0,0.0,0.0,0.0,0.0,15526.0,0.0,624113833,0.0,0.0,618718626.0,0.0
2821,nubnubbb,instagram,3655851.0,0.0,0.0,0.0,0.0,0.0,5803.0,0.0,622804018,0.0,0.0,619142364.0,0.0
3492,นุ่น นพลักษณ์ กุลธวัชชัย,instagram,2553941.0,0.0,0.0,0.0,0.0,0.0,16411.0,0.0,621609326,0.0,0.0,619038974.0,0.0
2656,iiitoei,instagram,26798666.0,0.0,0.0,0.0,0.0,0.0,61329.0,0.0,336241620,0.0,0.0,309381625.0,0.0
3669,ฟ้า ษริกา สารทศิลป์ศุภา,instagram,9308226.0,0.0,0.0,0.0,0.0,0.0,18339.0,0.0,318652040,0.0,0.0,309325475.0,0.0
3381,ตู่ สวรินทร์ ศรีบุญมา,instagram,4588583.0,0.0,0.0,0.0,0.0,0.0,11943.0,0.0,316282301,0.0,0.0,311681775.0,0.0
1664,Oppa Thuchy,instagram,5137416.0,0.0,0.0,0.0,0.0,0.0,21339.0,0.0,314412975,0.0,0.0,309254220.0,0.0
3709,มิ้นชี่ สมัชญา อัศวนิเวศน์,instagram,4286638.0,0.0,0.0,0.0,0.0,0.0,14555.0,0.0,313724903,0.0,0.0,309423710.0,0.0
697,Eyeta,instagram,2414677.0,0.0,0.0,0.0,0.0,0.0,12264.0,0.0,312355638,0.0,0.0,309928697.0,0.0
1424,Mhunoiii,instagram,755587.0,0.0,0.0,0.0,0.0,0.0,11584.0,0.0,310002820,0.0,0.0,309235649.0,0.0
4098,อีจัน,facebook,182161259.0,3378073.0,971493.0,2808405.0,6220015.0,2307981.0,11425845.0,15138299.0,224411370,0.0,0.0,0.0,0.0
3917,สิ่งเล็กๆที่เรียกว่ารัก,facebook,95479754.0,1027914.0,134692.0,5329645.0,380742.0,6440.0,2346740.0,12780313.0,117486240,0.0,0.0,0.0,0.0
3221,คาราโอเกะชั้นใต้ดิน,facebook,64628073.0,754752.0,225409.0,21615525.0,790292.0,1060002.0,2491352.0,10470549.0,102035954,0.0,0.0,0.0,0.0
581,Drama-addict,facebook,74596427.0,909439.0,914544.0,7416147.0,2126810.0,1664068.0,5984711.0,6389077.0,100001223,0.0,0.0,0.0,0.0
2623,hastation,instagram,87192221.0,0.0,0.0,0.0,0.0,0.0,482871.0,0.0,87675092,0.0,0.0,0.0,0.0
3046,กับข้าวกับปลาโอ Plaocooking,facebook,69274949.0,1098732.0,1617503.0,822224.0,97915.0,26904.0,1893908.0,6831591.0,81663726,0.0,0.0,0.0,0.0
3953,หนูน้อยบนยอดเขาอันหนาวเหน็บ,facebook,68750047.0,4425623.0,397498.0,4148581.0,344502.0,52654.0,1584422.0,1685665.0,81388992,0.0,0.0,0.0,0.0
1944,Sale here,facebook,38526670.0,482296.0,334604.0,135800.0,89271.0,21337.0,8624248.0,18676363.0,66890589,0.0,0.0,0.0,0.0
3555,ปันโปร - Punpromotion,facebook,32085025.0,553295.0,253006.0,200368.0,55167.0,8535.0,8314744.0,15896084.0,57366224,0.0,0.0,0.0,0.0
3973,หมอแล็บแพนด้า,facebook,43808069.0,747840.0,522693.0,4536581.0,1292800.0,320100.0,2532367.0,3219345.0,56979795,0.0,0.0,0.0,0.0
920,Guy Haru Family,facebook,47308227.0,5118342.0,73074.0,2646279.0,19065.0,5993.0,925482.0,580893.0,56677355,0.0,0.0,0.0,0.0
1292,Lowcostcosplay,facebook,21868752.0,1159922.0,557333.0,23807021.0,783715.0,83075.0,1220028.0,4495047.0,53974893,0.0,0.0,0.0,0.0
3595,ผู้หญิง Salaryman Thailand,facebook,40271607.0,4407314.0,176256.0,1779967.0,43291.0,2238.0,1763758.0,5192971.0,53637402,0.0,0.0,0.0,0.0
4476,ใต้เตียงดารา,facebook,43167408.0,3118546.0,179498.0,1335209.0,138287.0,24321.0,1564455.0,1742356.0,51270080,0.0,0.0,0.0,0.0
3148,ข้าวจ้าว หมากวนตีน,facebook,37373162.0,2953086.0,47886.0,7626459.0,13036.0,7774.0,745556.0,645796.0,49412755,0.0,0.0,0.0,0.0
2129,Tagple,facebook,42495247.0,2291017.0,169348.0,190202.0,41135.0,25828.0,1036272.0,2805271.0,49054320,0.0,0.0,0.0,0.0
2551,djpetjah channel,instagram,47613396.0,0.0,0.0,0.0,0.0,0.0,130822.0,0.0,47744218,0.0,0.0,0.0,0.0
3556,ปันโปร promotion,instagram,44090843.0,0.0,0.0,0.0,0.0,0.0,183646.0,0.0,44274489,0.0,0.0,0.0,0.0
3133,ขอบสหนัง,facebook,32164140.0,1380744.0,208282.0,3398671.0,656035.0,22639.0,917090.0,5078151.0,43825752,0.0,0.0,0.0,0.0
3997,หมูหิว,facebook,26080335.0,221990.0,257812.0,18881.0,3484.0,2034.0,650007.0,9833225.0,37067768,0.0,0.0,0.0,0.0
4103,อีเจี๊ยบ เลียบด่วน,facebook,27366582.0,464250.0,115793.0,4131802.0,264786.0,174980.0,1494151.0,826852.0,34839196,0.0,0.0,0.0,0.0
987,I Roam Alone,facebook,27652623.0,2291880.0,135117.0,483978.0,19226.0,9421.0,501611.0,1089755.0,32183611,0.0,0.0,0.0,0.0
879,Gluta Story,facebook,22243223.0,3110777.0,42616.0,4634757.0,279706.0,2218.0,658098.0,1165371.0,32136766,0.0,0.0,0.0,0.0
2849,pantipa,instagram,31138855.0,0.0,0.0,0.0,0.0,0.0,76627.0,0.0,31215482,0.0,0.0,0.0,0.0
2304,Unseen Tour Thailand,facebook,27878548.0,433998.0,201527.0,6022.0,3457.0,534.0,860717.0,1398052.0,30782855,0.0,0.0,0.0,0.0
695,Extreme IT,youtube,486956.0,0.0,0.0,0.0,0.0,0.0,31871.0,0.0,29183150,0.0,0.0,28653993.0,10330.0
1159,Kaykai Salaider,instagram,29036812.0,0.0,0.0,0.0,0.0,0.0,63267.0,0.0,29100079,0.0,0.0,0.0,0.0
4266,เมีย,facebook,21391035.0,182378.0,60248.0,1865599.0,104349.0,9464.0,1315686.0,3993462.0,28922221,0.0,0.0,0.0,0.0
3308,ชีวิตติดรีวิว,facebook,21935142.0,419917.0,253482.0,142408.0,15520.0,10359.0,1365178.0,4235693.0,28377699,0.0,0.0,0.0,0.0
3342,ดูดวงความรัก,facebook,19650969.0,515840.0,151983.0,1520505.0,225341.0,16695.0,1917391.0,4158851.0,28157575,0.0,0.0,0.0,0.0
114,Alrisaa,instagram,26914835.0,0.0,0.0,0.0,0.0,0.0,44021.0,0.0,26958856,0.0,0.0,0.0,0.0
2289,TripTH ทริปไทยแลนด์,facebook,19580048.0,242432.0,144345.0,54436.0,5937.0,1161.0,1522431.0,5198775.0,26749565,0.0,0.0,0.0,0.0
2448,Zom Marie,facebook,23094556.0,2312296.0,39659.0,162189.0,41828.0,7355.0,170639.0,456519.0,26285041,0.0,0.0,0.0,0.0
3343,ดูดวงความรัก,instagram,25514504.0,0.0,0.0,0.0,0.0,0.0,145445.0,0.0,25659949,0.0,0.0,0.0,0.0
1223,Kyutae Oppa - คิวเท โอ็ปป้า,facebook,20026738.0,1864754.0,103981.0,2212544.0,23814.0,9099.0,478952.0,740736.0,25460618,0.0,0.0,0.0,0.0
3041,กองทัพ ยายี,facebook,18067388.0,4429765.0,21143.0,1342525.0,1322.0,419.0,621816.0,561159.0,25045537,0.0,0.0,0.0,0.0
3153,คนตัวดำ,facebook,14973265.0,166840.0,24670.0,1965023.0,202221.0,4726.0,1564026.0,5578818.0,24479589,0.0,0.0,0.0,0.0
3888,สอดอStyle,facebook,21083774.0,863477.0,53151.0,1275515.0,24711.0,18047.0,418428.0,544155.0,24281258,0.0,0.0,0.0,0.0
1387,Mawinfinferrr,facebook,22500859.0,418045.0,201507.0,95116.0,4826.0,5054.0,380939.0,471425.0,24077771,0.0,0.0,0.0,0.0
3951,หนูนาสวีเดน แฟนเฟจ,facebook,22791532.0,388613.0,63692.0,69538.0,6672.0,5684.0,446170.0,149958.0,23921859,0.0,0.0,0.0,0.0
685,EventPass,facebook,13822491.0,302362.0,103781.0,140079.0,31756.0,5751.0,2891131.0,6121448.0,23418799,0.0,0.0,0.0,0.0
2022,Sp Saypan,facebook,18730968.0,924578.0,433621.0,92190.0,20840.0,705.0,1744571.0,795032.0,22742505,0.0,0.0,0.0,0.0
1314,MNJ TV,youtube,20947463.0,0.0,0.0,0.0,0.0,0.0,977559.0,0.0,22407115,0.0,0.0,22259.0,459834.0
2998,vanda29,instagram,22173850.0,0.0,0.0,0.0,0.0,0.0,120182.0,0.0,22294032,0.0,0.0,0.0,0.0
3593,ผู้หญิง Beauty Community,facebook,17751447.0,1598056.0,54881.0,914432.0,12128.0,468.0,481966.0,1338695.0,22152073,0.0,0.0,0.0,0.0
3898,สะบัดแปรง,instagram,22063612.0,0.0,0.0,0.0,0.0,0.0,81768.0,0.0,22145380,0.0,0.0,0.0,0.0
2724,kiwtum,facebook,16054881.0,959784.0,13199.0,314745.0,55987.0,273.0,359483.0,3034530.0,20792882,0.0,0.0,0.0,0.0
4002,หม่อมถนัดแดก,facebook,18955556.0,182390.0,98522.0,474282.0,14951.0,24543.0,330871.0,321248.0,20402363,0.0,0.0,0.0,0.0
3861,ศุภชัย เสมอมิตร โหน่งโชว์,facebook,18789224.0,94048.0,111287.0,80086.0,3579.0,3035.0,182343.0,861525.0,20125127,0.0,0.0,0.0,0.0
1272,Little Monster,facebook,14302986.0,2304446.0,28195.0,1654233.0,11092.0,2126.0,497702.0,1222345.0,20023125,0.0,0.0,0.0,0.0
651,Edward10516 : เอ็ดเวิร์ด,facebook,15033668.0,2366701.0,37024.0,1467526.0,13207.0,1238.0,306819.0,577790.0,19803973,0.0,0.0,0.0,0.0
3874,สมาคมนิยมรถแต่งสวยโหด,facebook,18238073.0,424447.0,254512.0,30148.0,2752.0,291.0,89540.0,186731.0,19226494,0.0,0.0,0.0,0.0
3028,zbing z.,youtube,16809086.0,0.0,0.0,0.0,0.0,0.0,900166.0,0.0,18493396,0.0,0.0,21548.0,762596.0
3919,สี่สหาย สายเหน่อ,facebook,14735035.0,1451378.0,19146.0,1498450.0,9321.0,868.0,614273.0,129977.0,18458448,0.0,0.0,0.0,0.0
1945,Sale here,instagram,18030915.0,0.0,0.0,0.0,0.0,0.0,93977.0,0.0,18124892,0.0,0.0,0.0,0.0
